MOF,K_ethane (mol m-3 Pa-1),K_ethene (mol m-3 Pa-1),D_ethane_a (m2/s),D_ethane_b (m2/s),D_ethane_c (m2/s),D_ethane,D_ethene_a (m2/s),D_ethene_b (m2/s),D_ethene_c (m2/s),D_ethene,P_ethane,P_ethene,K(ea/ee),Score,¦Á,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,SOCERE,A
ORUKOD_clean,6.259686473,1.544366931,0,8.56E-09,0,2.85E-09,0,1.25E-08,0,4.17E-09,53316334.54,19208543.92,2.775657268,3.755627196,4.053237833,4.98278,3.59875,4.86135,1.67769,666.045,397.001,0,0,0.4328,0.257974,0,1,2,1
QANSUV_clean,24.57561944,6.064184909,0,0,2.68E-26,8.93E-27,0,0,1.76E-23,5.87E-24,6.55E-10,1.06E-07,0.00617098,1.004067793,4.052584116,6.55458,2.45482,6.54804,1.51592,0,0,921.117,607.627,0.502,0.331151,0,1,0,1
EDABOC_clean,24.26716382,5.989026542,0,0,0,0,1.49E-13,0,0,4.97E-14,0,887.9253281,0,1.004042768,4.051937932,5.13779,3.12592,5.1315,1.69765,0,0,651.072,383.513,0.4246,0.25011,0,0,0,1
NUFTOY_charged,10.65408548,2.634479994,2.11E-13,0,0,7.03E-14,7.82E-13,0,0,2.61E-13,2236.827897,2049.913786,1.09118145,1.951891543,4.044094282,9.32517,8.36752,9.32517,0.982387,1441.86,1467.71,0,0,0.6018,0.612589,0,0,0,1
LUDKOM_clean,24.06555609,5.963078342,0,0,1.28E-08,4.27E-09,0,0,1.14E-08,3.80E-09,306506585,67640888.66,4.531380222,4.370095227,4.03576051,6.72845,4.30181,6.72845,1.47246,871.523,591.883,0,0,0.4702,0.31933,0,1,1,1
VONDEJ_clean,11.85963435,2.941941304,2.12E-08,0,0,7.07E-09,2.83E-08,0,0,9.43E-09,250173381.3,82842725.28,3.019859384,4.042126334,4.031227385,5.31005,4.78872,5.30922,1.60595,966.902,602.074,0,0,0.507,0.315701,0,0,1,1
OVICUS_clean,8.290349611,2.056904017,3.13E-08,0,0,1.04E-08,2.92E-08,0,0,9.73E-09,258196958,59762783.38,4.320363668,4.268861208,4.030499013,5.87924,5.2518,5.87924,1.52853,828.26,541.866,0,0,0.4388,0.287073,0,1,1,1
OMIPAD_clean,37.34010103,9.291853099,1.52E-09,0,0,5.07E-10,4.06E-09,0,0,1.35E-09,56474580.66,37537237.39,1.504494858,3.718941259,4.018584951,5.24341,3.62169,5.16602,1.1791,539.772,457.781,0,0,0.4566,0.387243,0,0,2,1
ZISNEW_clean,6.51992222,1.627888702,2.82E-09,0,4.95E-08,1.74E-08,3.92E-09,0,6.36E-08,2.25E-08,339425204.5,109368204.1,3.103508988,4.102354261,4.005140039,10.937,5.73353,10.937,0.756384,2253.97,2979.93,0,0,0.706,0.933388,0,1,1,1
IXECET_clean,26.02364285,6.510861198,2.88E-10,3.32E-10,1.06E-08,3.74E-09,1.36E-09,1.51E-09,9.08E-09,3.98E-09,290532609.7,77417702.8,3.752792956,4.15766162,3.996958629,8.30942,3.60945,8.30942,1.54442,1337.53,866.043,0,0,0.5456,0.353273,0,0,1,1
LACGED_clean,12.60424184,3.153949162,2.40E-10,0,0,8.00E-11,1.48E-09,0,0,4.93E-10,3009968.201,4644621.652,0.648054551,3.199153799,3.9963364,5.2733,3.44165,5.13632,1.92322,520.432,270.604,0,0,0.4068,0.21152,0,1,0,1
UKUBOS_clean,15.86452169,3.977996953,4.52E-09,4.51E-09,0,3.01E-09,7.11E-09,7.10E-09,0,4.74E-09,142543911.3,56246106.17,2.534289411,3.912548543,3.988067833,7.20509,4.51731,7.20509,1.01682,1332.64,1310.6,0,0,0.5496,0.540507,0,0,1,1
QUPHUF_clean,9.16750862,2.300845963,1.35E-09,0,0,4.50E-10,2.79E-09,0,0,9.30E-10,12314563.82,6387423.121,1.927939262,3.463962968,3.984407808,5.02709,3.72665,4.99488,1.27657,629.658,493.241,0,0,0.4654,0.36457,0,1,2,1
