MOF,K_ethane (mol m-3 Pa-1),K_ethene (mol m-3 Pa-1),D_ethane_a (m2/s),D_ethane_b (m2/s),D_ethane_c (m2/s),D_ethane,D_ethene_a (m2/s),D_ethene_b (m2/s),D_ethene_c (m2/s),D_ethene,P_ethane,P_ethene,K(ea/ee),Score,¦Á,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,SOCERE,A
UQOGAK_clean,3.247033117,1.102569962,0,0,5.78E-09,1.93E-09,0,0,7.56E-09,2.52E-09,18674479.02,8293959.117,2.251575967,3.546916611,2.944967874,5.32857,3.35824,5.23125,1.15511,1372.5,1188.2,0,0,0.5098,0.441345,0,1,2,2
0BVOR_clean,3.107296929,1.055416566,3.58E-08,0,0,1.19E-08,4.15E-08,0,0,1.38E-08,110687791.1,43581878.1,2.539766433,3.868888887,2.944142653,5.28259,5.11208,5.27848,1.1717,1472.77,1256.95,0,0,0.5292,0.451653,0,0,1,2
KIFJIT_charged,5.875318739,1.995830326,0,0,0,0,2.77E-17,0,0,9.23E-18,0,0.055009453,0,1.004042768,2.943796706,4.8015,3.58209,4.8015,1.28128,258.644,201.864,172.457,134.598,0.4944,0.385866,0,0,0,2
SOCKOM_clean,1.103724641,0.37496993,4.93E-10,0,0,1.64E-10,1.05E-09,0,0,3.50E-10,541429.1025,391759.6284,1.38204415,2.909519127,2.943501739,6.11033,3.35104,6.11033,1.25548,1018.6,811.323,0,0,0.537,0.427725,0,1,0,2
XADDEN_manual,0.653291637,0.221970973,5.79E-09,0,0,1.93E-09,7.35E-09,0,0,2.45E-09,3763739.879,1623369.803,2.318473507,3.271322984,2.943139944,13.23644,6.65907,13.23644,0.875752,2128.62,2430.62,0,0,0.7182,0.820095,0,1,0,2
CESFOW_clean,0.72428033,0.246123005,8.24E-11,0,0,2.75E-11,1.30E-10,0,0,4.33E-11,59383.78029,31836.80662,1.865255552,2.535573659,2.942757545,11.30689,5.72282,11.30689,0.75113,2376.62,3164.06,0,0,0.7236,0.963349,0,1,0,2
QOJTUE_clean,3.946215219,1.341408067,1.26E-08,0,0,4.20E-09,1.63E-08,0,0,5.43E-09,49474937.07,21756170.64,2.274064581,3.717045051,2.94184545,4.99075,4.07072,4.98875,1.39072,1473.66,1059.64,0,0,0.5964,0.428841,0,1,2,2
ADAXEK_clean,2.402389544,0.816654639,5.04E-09,1.31E-08,0,6.05E-09,6.39E-09,1.14E-08,0,5.93E-09,43362533.66,14456006,2.999620619,3.73601623,2.941744808,5.76724,4.10445,5.76724,1.26343,1305.6,1033.38,0,0,0.5042,0.399073,0,0,2,2
WASMIP_clean,0.808760324,0.274981958,2.03E-23,0,0,6.77E-24,1.70E-21,0,0,5.67E-22,1.63E-08,4.65E-07,0.035120667,1.004187276,2.941139593,4.77553,2.93835,4.77368,1.34832,0,0,547.875,406.339,0.4528,0.335825,0,0,0,2
OFESIC_clean,0.423197819,0.143889824,0,0,4.92E-08,1.64E-08,0,0,4.75E-08,1.58E-08,20717743.97,6800762.826,3.046385311,3.611593419,2.94112403,7.36476,5.0904,7.36476,1.82236,878.112,481.855,0,0,0.4554,0.249896,0,0,2,2
0CLOH03_clean,0.870022452,0.29598268,2.29E-08,0,0,7.63E-09,2.43E-08,0,0,8.10E-09,19824392.19,7156596.143,2.770086755,3.583402608,2.939437037,5.53774,4.87922,5.44835,1.29563,1278.59,986.85,0,0,0.5392,0.416168,0,1,2,2
HIDCUU_clean,7.185430198,2.444531313,0,0,5.59E-08,1.86E-08,0,0,7.03E-08,2.34E-08,399667212,170995573.4,2.337295662,4.082534997,2.939389714,4.77714,4.04915,4.77714,1.67198,561.972,336.111,24.6403,14.7372,0.4404,0.2634,0,0,1,2
IKETOH_manual,0.570804266,0.194194531,4.53E-09,0,0,1.51E-09,5.89E-09,0,0,1.96E-09,2572878.93,1138115.212,2.260648926,3.202935097,2.939342643,13.20001,6.4144,13.20001,0.879595,2120.61,2410.89,0,0,0.713,0.810601,0,1,0,2
IDUDES_clean,10.4217224,3.545910512,0,6.80E-18,0,2.27E-18,0,4.54E-16,0,1.51E-16,0.070515137,1.601834201,0.044021495,1.004224712,2.939082181,4.4794,2.97646,4.4794,1.27416,0,0,657.369,515.924,0.5018,0.393829,0,0,0,2
ECIWIW_clean,1.047133349,0.356310641,0,0,4.68E-08,1.56E-08,0,0,5.17E-08,1.72E-08,48762030.58,18329612.08,2.660287101,3.733045892,2.938821434,5.91503,4.28149,5.90688,1.32412,773.007,583.789,0,0,0.4832,0.364921,0,1,2,2
ARU1_clean,1.951667869,0.664116751,1.07E-08,0,0,3.57E-09,1.18E-08,0,0,3.93E-09,20778951.44,7797589.713,2.664791584,3.585123636,2.93874212,5.37817,4.58095,5.37264,1.47856,1357.43,918.075,0,0,0.5162,0.349122,0,1,2,2
IWELIG01_clean,57.24631144,19.48887018,4.49E-08,0,0,1.50E-08,4.69E-08,0,0,1.56E-08,2557571526,909480608.4,2.812123208,4.430423889,2.937384821,4.6866,4.49829,4.6866,1.86798,511.71,273.938,140.313,75.1146,0.3994,0.213814,0,0,1,2
MABKIK01_clean,0.738449202,0.251399246,1.10E-08,3.71E-10,0,3.79E-09,1.52E-08,6.27E-10,0,5.28E-09,8355130.225,3959100.365,2.110360803,3.40213905,2.937356471,5.51433,5.20447,5.51433,1.39065,845.278,607.831,0,0,0.4446,0.319707,0,0,2,2
cm501138g_si_002_clean,0.613527384,0.208880603,2.65E-11,0,0,8.83E-12,6.48E-11,0,0,2.16E-11,16177.58774,13468.12246,1.201176169,2.297003765,2.937215688,13.2781,6.68961,13.2781,0.886331,2090.67,2358.79,0,0,0.7192,0.811435,0,1,0,2
ZOMNUM_clean,1.855200064,0.631853901,0,0,1.06E-08,3.53E-09,0,0,1.08E-08,3.60E-09,19567284.26,6790071.772,2.881749253,3.588757288,2.93612188,6.06034,4.51773,6.06034,1.06034,1392.7,1313.45,0,0,0.5604,0.52851,0,1,2,2
VICSIL_clean,1.693075936,0.576778125,1.28E-10,0,0,4.27E-11,1.92E-10,0,0,6.40E-11,215635.5421,110190.4478,1.956934984,2.762101238,2.935402476,5.30875,4.09789,5.30496,1.03603,1478.6,1427.18,0,0,0.565,0.545353,0,0,0,2
COKFAK_clean,2.717268062,0.925691605,1.29E-14,0,0,4.30E-15,8.87E-14,0,0,2.96E-14,34.87836617,81.70034365,0.426905991,1.006195577,2.935392357,5.25617,3.49649,5.25539,1.05876,800.714,756.272,0.071455,0.0674891,0.4738,0.447503,0,1,0,2
KOFPEB04_clean,0.475880042,0.162152193,0,0,5.86E-08,1.95E-08,0,0,6.34E-08,2.11E-08,27747831.3,10229302.52,2.71258292,3.638208636,2.934774012,7.23942,4.91036,7.23942,1.7997,891.039,495.105,0,0,0.4576,0.254265,0,0,2,2
WOYJAX_clean,1.036296207,0.353123246,2.03E-09,0,0,6.77E-10,2.91E-09,0,0,9.70E-10,2093215.224,1022476.265,2.047201775,3.159641625,2.934658703,12.27463,5.80964,12.27345,0.829543,2229.7,2687.86,0,0,0.7142,0.860956,0,1,0,2
QATVUE_clean,10.59700906,3.611097747,3.70E-08,3.67E-08,0,2.46E-08,4.49E-08,4.47E-08,0,2.99E-08,777113997.7,321944635,2.413812542,4.201377855,2.934567215,6.38161,3.71559,6.38161,1.03389,1164.63,1126.45,0,0,0.5572,0.538935,0,0,1,2
JUSKAL_clean,0.612525058,0.208732259,2.48E-08,0,0,8.27E-09,2.63E-08,0,0,8.77E-09,15115046.21,5462346.678,2.767134182,3.53609622,2.934501169,5.98148,5.50358,5.98148,1.39089,683.78,491.614,0,0,0.4456,0.320371,0,1,2,2
XAMDUM07_clean,0.573229893,0.195413359,2.63E-11,0,0,8.77E-12,6.46E-11,0,0,2.15E-11,15000.94148,12560.8985,1.194257041,2.283793006,2.933422239,13.23294,6.7383,13.23294,0.874739,2071.26,2367.87,0,0,0.7194,0.822417,0,1,0,2
SISPUH_clean,1.401523535,0.477880683,0,0,3.76E-08,1.25E-08,0,0,3.78E-08,1.26E-08,52435109.37,17974019.72,2.917272274,3.762602812,2.932789679,5.99511,5.1936,5.99511,1.69632,1257.02,741.025,0,0,0.5152,0.303716,0,1,2,2
TAGSEB_clean,0.782988533,0.266987411,1.82E-08,0,0,6.07E-09,1.79E-08,0,0,5.97E-09,14179493.83,4755298.166,2.981830652,3.540403411,2.932679597,5.65756,4.12237,5.64659,1.3278,950.233,715.647,0,0,0.4958,0.373401,0,1,2,2
SONVEX_neutral_b,0.682395157,0.232699864,5.21E-09,0,0,1.74E-09,6.83E-09,0,0,2.28E-09,3537590.814,1581432.907,2.236952829,3.25734256,2.932512058,13.20026,6.62162,13.20026,0.879921,2126.12,2416.26,0,0,0.7172,0.815073,0,1,0,2
YEGTEK_clean,0.64420255,0.219697699,3.09E-10,0,0,1.03E-10,6.76E-10,0,0,2.25E-10,198068.2467,147776.7607,1.340320668,2.734170402,2.932222563,5.83356,3.28711,5.24482,1.57194,0,0,747.066,475.25,0.5134,0.326602,0,1,0,2
XAGCIS_clean,5.694094299,1.942153797,0,0,0,0,3.54E-18,3.64E-18,0,2.39E-18,0,0.013875288,0,1.004042768,2.931845206,5.55946,2.66018,5.10796,1.7591,0,0,819.689,465.97,0.4442,0.252515,0,1,0,2
YAQKEI_clean,2.869914201,0.979540534,1.08E-08,0,0,3.60E-09,1.14E-08,0,0,3.80E-09,30840869.03,11111206.06,2.775654494,3.660533546,2.929857521,4.87973,4.18958,4.87973,1.91746,825.152,430.337,0,0,0.4374,0.228115,0,1,2,2
CEGDUO_clean,1.439988774,0.491528346,8.37E-09,0,0,2.79E-09,1.14E-08,0,0,3.80E-09,11992742.33,5575545.417,2.150954109,3.466307123,2.929614916,4.82541,3.97638,4.82307,1.91831,724.949,377.909,0,0,0.4724,0.246258,0,1,2,2
YOCSEQ_clean,1.142097667,0.389940662,1.93E-08,0,0,6.43E-09,2.04E-08,0,0,6.80E-09,21932820.87,7915213.438,2.770970239,3.601017482,2.928901185,5.29821,4.82783,5.29821,2.09158,1030.37,492.631,0,0,0.4588,0.219356,0,1,2,2
FEQSIF_clean,1.178189399,0.402445674,0,2.17E-11,1.20E-11,1.12E-11,0,4.77E-11,2.96E-11,2.58E-11,39507.44552,30954.2792,1.27631612,2.453158494,2.92757377,9.23636,5.60978,9.22645,0.773392,2340.66,3026.49,0,0,0.7012,0.906656,0,1,0,2
BEPVEZ_clean,1.069998396,0.365560099,1.27E-08,0,0,4.23E-09,1.28E-08,0,0,4.27E-09,13521372.77,4655889.818,2.904143632,3.526187252,2.927010904,5.76875,4.44638,5.76422,1.26954,947.431,746.277,0,0,0.5084,0.400459,0,1,2,2
QEJYIP_clean,1.799258279,0.614790314,0,0,1.96E-08,6.53E-09,0,0,2.37E-08,7.90E-09,35090012.21,14498040.24,2.420327963,3.663552723,2.926621058,5.79435,3.44834,5.51643,1.42081,1141.45,803.374,0,0,0.5468,0.38485,0,0,2,2
JOHQUT_clean,1.320411354,0.451198781,0,0,2.90E-08,9.67E-09,0,0,3.15E-08,1.05E-08,38101422.16,14142051.34,2.694193454,3.692183498,2.92645151,5.10814,3.94987,5.09674,1.90453,697.67,366.322,0,0,0.4102,0.215382,0,1,2,2
KUFVIS_clean,1.547397963,0.528782776,2.00E-11,0,0,6.67E-12,4.82E-11,8.29E-11,0,4.37E-11,30793.98931,68978.52929,0.446428615,2.401704101,2.926339573,5.06056,3.06967,5.03691,1.19799,0,0,1123.03,937.421,0.5062,0.42254,0,1,0,2
IYAJOJ_clean,1.298709005,0.443849731,3.88E-09,0,0,1.29E-09,5.77E-09,0,0,1.92E-09,5013921.333,2548271.59,1.967577299,3.308990242,2.926010571,6.96485,4.61788,6.92434,1.17533,1527.18,1299.36,0,0,0.552,0.469655,0,1,0,2
WAYMEQ_SL,2.174444712,0.743408708,0,1.17E-08,0,3.90E-09,0,1.19E-08,0,3.97E-09,25314430.98,8802550.871,2.875806269,3.633064849,2.92496535,6.99879,6.49457,6.99879,0.979768,1578.78,1611.38,0,0,0.5878,0.599938,0,0,2,2
MOLKAB_clean,1.201711972,0.410953412,2.07E-08,0,0,6.90E-09,2.36E-08,0,0,7.87E-09,24751679.42,9650249.277,2.564874618,3.609993927,2.924204878,6.21836,5.45282,6.15162,1.19004,1495.35,1256.55,0,0,0.585,0.491579,0,1,2,2
GUFBOA_clean,2.318563066,0.792915564,3.21E-09,0,0,1.07E-09,4.00E-09,0,0,1.33E-09,7405559.644,3155882.842,2.346588899,3.390069529,2.924098317,5.81423,4.04124,5.79708,1.35939,665.654,489.672,0,0,0.4506,0.331473,0,1,2,2
CIPCUB_clean,1.774332451,0.606843878,0,0,1.90E-08,6.33E-09,0,0,2.05E-08,6.83E-09,33544593.6,12378407.46,2.709928051,3.67100452,2.923869739,4.79005,3.99723,4.76699,1.72886,1140.31,659.571,0,0,0.5,0.289207,0,1,2,2
SUQJEV_clean,2.575936172,0.881023976,0,9.63E-09,0,3.21E-09,0,1.56E-08,0,5.20E-09,24682851.08,13675596.05,1.804883019,3.581535169,2.923798037,6.37976,3.41068,6.37976,1.61288,1257.56,779.698,0,0,0.5318,0.329721,0,1,2,2
KUKZOH_clean,1.065375672,0.364445514,0,7.90E-09,8.51E-09,5.47E-09,0,1.01E-08,1.19E-08,7.33E-09,17395835.6,7977911.749,2.180499878,3.531959565,2.923278326,7.44729,5.70388,7.44729,0.883784,2165.19,2449.91,57.8203,65.4236,0.6614,0.748373,0,1,2,2
TUBCEA_clean,1.673598749,0.572688638,1.37E-08,0,0,4.57E-09,1.49E-08,0,0,4.97E-09,22814231.7,8490607.668,2.686996337,3.60266047,2.92235368,5.6085,3.84866,5.6085,1.73795,888.172,511.045,0,0,0.4598,0.264564,0,1,2,2
YAZZAC_clean,1.503343758,0.514449523,7.85E-14,0,0,2.62E-14,9.62E-13,0,0,3.21E-13,117.4253582,492.4382499,0.238457021,1.005131442,2.922237636,4.64776,3.18674,4.48578,2.01362,0,0,508.258,252.41,0.4176,0.207388,0,1,0,2
YOYQIO_clean,6.484479994,2.219188517,0,0,2.56E-08,8.53E-09,0,0,2.37E-08,7.90E-09,165176803.8,52333102.34,3.15625859,3.982114224,2.922005023,6.67565,4.79784,6.64558,1.08038,1016.53,940.902,0,0,0.5102,0.47224,0,0,1,2
WAMRIN_clean,1.400797851,0.479476385,0,3.27E-08,0,1.09E-08,0,2.61E-08,0,8.70E-09,45578198.73,12452073.28,3.660289953,3.820655825,2.921515834,7.37329,5.74338,7.35934,0.949012,1570.93,1655.33,0,0,0.5942,0.626125,0,1,2,2
CIMTEZ_charged,1.344868094,0.460408147,6.12E-10,0,1.07E-11,2.08E-10,2.49E-09,0,1.87E-11,8.36E-10,833282.9474,1149279.521,0.725048113,2.976664629,2.921034527,8.4931,5.75863,8.48244,1.05628,1293.17,1224.27,0,0,0.5428,0.513878,0,0,0,2
LELMIA_clean,0.972941224,0.333096785,1.87E-08,0,0,6.23E-09,1.84E-08,0,0,6.13E-09,18103483.47,6098488.402,2.968519784,3.581789616,2.920896472,5.90205,5.05463,5.89889,1.44105,1311.25,909.93,0,0,0.5386,0.373756,0,1,2,2
HEDCAW_clean,0.538064309,0.18421538,2.25E-10,0,0,7.50E-11,4.35E-10,0,0,1.45E-10,120462.1587,79735.01522,1.510781159,2.650655081,2.920843575,8.17736,6.62352,8.16605,0.938004,1961.34,2090.97,0,0,0.6256,0.666948,0,1,0,2
APAYOH_clean,2.113238714,0.723630824,1.89E-09,0,0,6.30E-10,3.11E-09,0,0,1.04E-09,3974150.417,2239295.386,1.774732553,3.263544811,2.920327111,6.13125,4.32559,6.13125,1.11146,2186.88,1967.56,0,0,0.6078,0.546846,0,1,0,2
LIR0R_clean,2.019292759,0.691668671,0,2.73E-09,0,9.10E-10,0,6.62E-09,0,2.21E-09,5485243.017,4556066.271,1.203942764,3.309153838,2.919450951,5.98787,3.62357,5.98787,1.13373,1270.63,1120.75,0,0,0.5214,0.459897,0,0,0,2
BEPREV01_clean,1.766754871,0.605276241,8.26E-13,0,0,2.75E-13,3.47E-12,0,0,1.16E-12,1452.079128,2089.85926,0.694821491,1.872895199,2.918923214,6.64209,5.02845,6.632,0.808218,2539.09,3141.59,0,0,0.6368,0.787906,0,0,0,2
QOCBUH_clean,1.234824794,0.423069521,0,1.13E-09,0,3.77E-10,0,1.87E-09,0,6.23E-10,1388409.967,787203.9843,1.763723247,3.080593079,2.918727851,5.62714,5.2779,5.62443,1.65942,1085.12,653.917,0,0,0.4334,0.261175,0,0,0,2
KEHGIP_clean,4.370824312,1.497514233,0,4.12E-09,1.05E-08,4.87E-09,0,4.76E-09,1.15E-08,5.42E-09,63583533.77,24228439.23,2.624334699,3.777109441,2.918719713,4.93159,3.98659,4.92634,1.07028,1453.04,1357.62,0,0,0.5542,0.517807,0,1,2,2
VAPFUP_clean,1.79632748,0.615487932,1.10E-09,0,0,3.67E-10,2.00E-09,0,0,6.67E-10,1966129.58,1224851.606,1.605198189,3.137573176,2.918542162,5.15651,3.56832,5.15424,2.0755,483.988,233.191,0,0,0.4372,0.210648,0,1,0,2
FECXAO_clean,1.677163018,0.574825595,0,0,9.50E-09,3.17E-09,4.75E-14,0,2.77E-08,9.23E-09,15853779.77,15843478.89,1.000650165,3.491049659,2.917690222,5.79137,4.59346,5.79018,0.989543,1846.09,1865.6,0,0,0.6174,0.623924,0,0,2,2
VUQJUN_clean,1.001455376,0.343388662,5.63E-09,5.59E-09,0,3.74E-09,1.22E-08,1.31E-08,0,8.43E-09,11180427.18,8644510.596,1.293355715,3.434119239,2.916390338,11.32335,10.23371,11.32335,0.790589,1727.96,2185.66,0,0,0.6652,0.841398,0,1,2,2
XINZEB_clean,2.49885334,0.856900008,1.88E-10,0,0,6.27E-11,3.68E-10,0,0,1.23E-10,467447.192,313770.3512,1.489774895,2.885827133,2.916155113,5.58391,4.38224,5.56908,1.48991,1505.54,1010.49,0,0,0.5618,0.377069,0,1,0,2
DIMKER_clean,0.528915083,0.181376794,1.94E-09,0,0,6.47E-10,4.43E-09,0,0,1.48E-09,1020990.309,799501.689,1.277033337,3.018105956,2.916112207,6.00256,3.22793,5.9849,1.87611,0,0,635.194,338.569,0.45,0.239858,0,1,0,2
QAQSAD_clean,1.181040013,0.405204073,3.89E-09,0,0,1.30E-09,4.19E-09,0,0,1.40E-09,4571388.707,1689358.274,2.705991249,3.324536054,2.91467952,5.24683,3.85843,5.23776,1.22144,1138.43,932.039,0,0,0.537,0.439646,0,1,0,2
MUKRIU_clean,0.768731457,0.263747895,6.78E-14,0,0,2.26E-14,5.15E-13,0,0,1.72E-13,51.86068934,135.154394,0.383714416,1.005933677,2.9146449,4.8773,2.90645,4.87181,1.76476,0,0,423.932,240.22,0.38,0.215326,0,1,0,2
SUVZOA_clean,1.31733622,0.452028707,1.15E-09,0,0,3.83E-10,1.66E-09,0,0,5.53E-10,1507399.655,746634.4812,2.01892585,3.101734347,2.914275575,4.91499,2.47432,4.88987,1.62191,0,0,534.979,329.845,0.4362,0.268942,0,1,0,2
XOQXOR_SL,1.861803384,0.638930318,0,9.28E-12,0,3.09E-12,0,2.70E-11,0,9.00E-12,17191.57752,17165.29213,1.00153131,2.305132516,2.91393808,4.82657,2.72791,4.82657,1.20184,0,0,508.437,423.049,0.484,0.402716,0,0,0,2
IYAJID_clean,1.339547751,0.459754631,8.80E-09,0,0,2.93E-09,1.07E-08,0,0,3.57E-09,11729373.34,4894900.051,2.396243686,3.472106988,2.913614482,7.03999,4.83767,7.03999,1.19258,1520.7,1275.13,0,0,0.565,0.473761,0,0,2,2
QOFCEV_clean,1.882110496,0.646046829,0,8.20E-09,0,2.73E-09,0,9.53E-09,0,3.18E-09,15356523.45,6126195.304,2.506698316,3.524099168,2.913272555,7.0406,3.82805,7.0406,1.32731,1013.17,763.33,0,0,0.4912,0.370073,0,1,2,2
VIYSUT_clean,1.723943549,0.591821025,0,0,0,0,0,9.55E-17,0,3.18E-17,0,0.056237719,0,1.004042768,2.912947456,5.61753,3.04237,5.61609,1.13002,0,0,1296.39,1147.22,0.5884,0.520697,0,1,0,2
IYAKAW_clean,1.305592976,0.448203833,8.03E-09,0,0,2.68E-09,9.60E-09,0,0,3.20E-09,10431752.83,4281350.047,2.436556862,3.453566332,2.912944691,7.04175,4.93619,7.01576,1.16871,1555.91,1331.31,0,0,0.5758,0.492679,0,0,2,2
WAYMIU_manual,2.154983562,0.739824393,3.75E-09,0,0,1.25E-09,3.72E-09,0,0,1.24E-09,8040983.44,2738454.47,2.936321757,3.438315282,2.912831183,7.34688,6.90533,7.3455,0.98047,1670.06,1703.32,0,0,0.606,0.618071,0,0,2,2
ASEKAM_clean,2.346042819,0.805492743,0,0,1.43E-08,4.77E-09,0,0,1.55E-08,5.17E-09,33381504.79,12423022.4,2.687067905,3.668784745,2.912556121,5.99031,5.00967,5.99031,1.72662,1403.65,812.946,0,0,0.5696,0.329892,0,1,2,2
USEVOF_clean,1.645401331,0.564966723,0,3.01E-11,3.56E-09,1.20E-09,0,6.94E-11,4.94E-09,1.67E-09,5877766.486,2816063.982,2.087227607,3.340279878,2.912386277,9.78266,6.59544,9.77545,1.19807,1982.01,1654.33,0,0,0.6746,0.563072,0,1,0,2
WEHRIL_charged,1.597233582,0.548516558,6.33E-09,1.15E-08,0,5.94E-09,1.37E-08,1.37E-08,0,9.13E-09,28336989.82,14954580.79,1.894870222,3.607832707,2.91191498,5.19679,3.88815,5.19679,1.15403,1306.7,1132.29,0,0,0.5258,0.455621,0,1,2,2
VUQJUN01_clean,1.000601395,0.34362521,7.60E-09,7.35E-09,0,4.98E-09,1.56E-08,1.64E-08,0,1.07E-08,14884568.02,10941300.22,1.36040212,3.484852236,2.911897515,11.32844,10.26466,11.32844,0.790589,1731.69,2190.38,0,0,0.6654,0.841651,0,1,2,2
GOBGAG_clean,0.13369818,0.045914522,1.46E-09,0,0,4.87E-10,3.17E-09,0,0,1.06E-09,194228.2018,144824.9102,1.341124269,2.730781791,2.911893104,17.26438,5.3381,17.26438,1.05121,1516.89,1443,0,0,0.6532,0.621382,0,0,0,2
LELMIA01_clean,1.906779729,0.654895357,1.95E-08,0,0,6.50E-09,1.91E-08,0,0,6.37E-09,36997218.62,12446269.97,2.972554726,3.706270516,2.911579245,5.7573,4.86083,5.74121,1.47804,1284.35,868.952,0,0,0.5138,0.347622,0,1,2,2
TOXHAR_clean,1.637952049,0.562709486,2.63E-08,0,0,8.77E-09,2.67E-08,0,0,8.90E-09,42863819.79,14949595.3,2.867222753,3.723940975,2.910830704,4.88487,4.27765,4.88487,1.14926,1012.18,880.723,0,0,0.4974,0.4328,0,1,2,2
BOYTEQ_clean,5.927964879,2.036528747,0,0,3.85E-08,1.28E-08,0,0,4.13E-08,1.38E-08,227091191.9,83690186.32,2.713474565,4.003451474,2.910818169,4.92609,4.59373,4.92609,1.2701,571.535,449.993,0,0,0.42,0.330683,0,0,1,2
QERWAL_clean,1.327804506,0.45619838,4.33E-13,0,0,1.44E-13,4.42E-12,0,0,1.47E-12,572.0789563,2006.365015,0.285132043,1.00537663,2.910585754,6.23685,3.59052,6.23393,0.96089,1663.57,1731.28,0,0,0.5974,0.621716,0,0,0,2
SISQAO_clean,1.346010745,0.462501002,0,0,3.94E-08,1.31E-08,0,0,3.97E-08,1.32E-08,52768978.46,18269940.08,2.888295103,3.761570341,2.910287198,5.99338,5.23289,5.99338,1.66873,1254.35,751.683,0,0,0.5178,0.310297,0,1,2,2
KIYQOA_clean,2.355941785,0.809562184,0,3.65E-08,0,1.22E-08,0,4.20E-08,0,0.000000014,85564054.88,33832449.48,2.529052912,3.823619416,2.910143077,4.76031,3.94678,4.76031,1.3892,1043.7,751.292,0,0,0.5312,0.382377,0,1,2,2
MICNIW_clean,3.241359955,1.114144816,1.84E-19,1.86E-19,0,1.23E-19,1.39E-17,1.49E-17,0,9.60E-18,0.001193337,0.031927732,0.037376175,1.004196731,2.90928065,4.82166,2.7709,4.81279,1.07613,0,0,970.532,901.869,0.5538,0.51462,0,1,0,2
WAMRIN01_clean,1.427387539,0.490802662,5.09E-08,0,0,1.70E-08,6.38E-08,0,0,2.13E-08,72292562.92,31157422.72,2.320235649,3.784785036,2.908271795,7.20791,6.51318,7.17561,0.94264,1559.88,1654.8,0,0,0.5968,0.633115,0,1,2,2
la4012839_si_002_auto,0.784572208,0.269789913,2.10E-08,2.08E-08,2.10E-08,2.09E-08,2.56E-08,2.55E-08,2.56E-08,2.56E-08,49026004.64,20589936.64,2.381066318,3.719898922,2.908085774,13.36908,6.74856,13.36908,0.867921,2110.92,2432.16,0,0,0.7182,0.827495,0,1,2,2
GIXGOK_clean,0.127616069,0.043885815,1.31E-09,0,0,4.37E-10,2.88E-09,0,0,9.60E-10,166345.3238,125762.3355,1.322695886,2.703578878,2.907911566,17.36935,5.40179,17.36935,1.04037,1505.92,1447.48,0,0,0.6542,0.628815,0,0,0,2
CEZFIY_clean,1.889487611,0.649855665,2.71E-08,0,0,9.03E-09,3.55E-08,0,0,1.18E-08,50950362.45,22955100.6,2.21956607,3.720065867,2.90754965,5.34194,3.72114,5.30915,1.18992,1017.05,854.72,0,0,0.4786,0.40221,0,0,2,2
EBOCOQ_clean,1.685313928,0.580009622,0,1.65E-08,0,5.50E-09,0,1.74E-08,0,5.80E-09,27669333.15,10041957.63,2.755372424,3.640379676,2.905665465,5.90692,5.38954,5.89965,0.987787,1345.25,1361.88,0,0,0.583,0.590208,0,1,2,2
SIRZUQ_clean,0.36837062,0.126790153,2.99E-14,0,0,9.97E-15,2.30E-13,0,0,7.67E-14,10.95948412,29.01665193,0.37769637,1.005898075,2.905356696,6.19917,3.14657,6.19917,1.64949,0,0,288.592,174.958,0.4238,0.256928,0,1,0,2
QOFBIY01_clean,1.906711571,0.656398845,0,8.44E-09,0,2.81E-09,0,9.39E-09,0,3.13E-09,16012582.75,6132920.552,2.610922905,3.536813128,2.904806408,7.02313,3.82948,7.02313,1.33462,1010.65,757.254,0,0,0.4866,0.364598,0,1,2,2
QAMVEH01_clean,1.64718948,0.567151792,5.61E-13,0,1.57E-08,5.23E-09,3.81E-12,0,2.57E-08,8.57E-09,25733133.24,14505434.73,1.774033921,3.588027503,2.904318567,5.82556,4.59087,5.81673,0.990751,1901.06,1918.81,0,0,0.6228,0.628614,0,1,2,2
QEGGUE_charged,3.160600593,1.0887499,1.09E-10,6.48E-11,0,5.79E-11,1.89E-10,1.26E-10,0,1.05E-10,546579.4856,341249.9687,1.601698274,2.915119328,2.902962924,7.78517,6.64702,7.63417,0.868362,1997.41,2300.2,0,0,0.6528,0.75176,0,1,0,2
LAGVEX_clean,1.052598027,0.362637319,0,6.73E-09,0,2.24E-09,0,7.05E-09,0,2.35E-09,7048741.017,2543873.73,2.770869062,3.403817773,2.902619151,6.7023,3.90662,6.7023,1.13087,1228.85,1086.65,0,0,0.5372,0.475032,0,1,2,2
ESUVAR01_clean,1.480470692,0.510199663,0,0,2.28E-08,7.60E-09,0,0,2.38E-08,7.93E-09,33586797.79,12082340.28,2.779825515,3.675621536,2.901747687,5.82794,3.93449,5.82794,1.54928,1195.21,771.464,0,0,0.4896,0.316018,0,1,2,2
ISEQIH_clean,0.774027744,0.266766899,2.99E-08,0,0,9.97E-09,2.85E-08,0,0,9.50E-09,23028288.11,7565031.464,3.04404393,3.629762179,2.901513445,4.92293,4.26793,4.90311,1.74786,655.099,374.801,0,0,0.3298,0.188688,0,1,2,2
