dx       dy     dz      H2       CH4
0.47834	0.08764	0.24541	-2559.59029	-1157.02502
0.47771	0.08642	0.24774	-2569.62183	-1163.31526
0.47718	0.0853	0.2502	-2578.22156	-1168.53178
0.47679	0.08438	0.25281	-2585.65292	-1172.37653
0.47657	0.08377	0.25558	-2590.54549	-1174.5474
0.47654	0.08368	0.25844	-2585.4914	-1174.83513
0.47672	0.08417	0.26125	-2577.65392	-1173.2142
0.47706	0.08502	0.26391	-2568.49859	-1169.84566
0.47755	0.08608	0.26641	-2558.02946	-1165.02102
0.47815	0.08727	0.26879	-2546.28396	-1159.04726
0.47883	0.08854	0.27106	-2533.54683	-1152.19518
0.47956	0.08985	0.27327	-2520.24069	-1144.67792
0.48033	0.09118	0.27543	-2506.77709	-1136.64388
0.48111	0.09252	0.27756	-2493.43245	-1128.1806
0.4819	0.09385	0.27971	-2480.39361	-1119.31318
0.48268	0.09515	0.28188	-2467.77115	-1110.00216
0.48343	0.09642	0.28409	-2455.61153	-1100.15069
0.48415	0.09764	0.28637	-2443.9315	-1089.59674
0.48483	0.09879	0.28871	-2432.68715	-1078.11867
0.48547	0.09987	0.29113	-2421.83034	-1065.44703
0.48608	0.10088	0.2936	-2411.31877	-1051.27766
0.48667	0.10182	0.29612	-2401.08766	-1035.29425
0.48726	0.10271	0.29866	-2391.10778	-1017.1947
0.48786	0.10355	0.30121	-2381.37614	-996.71635
0.4885	0.10436	0.30374	-2371.90594	-973.65982
0.4892	0.10515	0.30625	-2362.75063	-947.91783
0.48997	0.10594	0.30872	-2353.97737	-919.50293
0.4908	0.10672	0.31113	-2345.65727	-888.56084
0.49171	0.10751	0.31347	-2337.84	-855.38074
0.4927	0.10831	0.31573	-2330.54288	-820.38262
0.49375	0.10913	0.31791	-2323.74757	-784.08124
0.49486	0.10996	0.32002	-2317.41569	-747.0517
0.49602	0.1108	0.32205	-2311.48874	-709.87595
0.49721	0.11166	0.32403	-2305.87536	-673.09711
0.49843	0.11252	0.32596	-2300.39107	-637.15437
0.49966	0.11339	0.32788	-2294.81896	-602.33658
0.50088	0.11424	0.32983	-2288.96615	-568.73802
0.50206	0.11506	0.33185	-2282.66347	-536.25032
0.50315	0.11582	0.334	-2275.80973	-504.63276
0.50413	0.11649	0.33633	-2268.31058	-473.69176
0.50492	0.11702	0.33885	-2260.10811	-443.57127
0.5055	0.11741	0.34154	-2251.2398	-414.93097
0.50588	0.11767	0.34434	-2241.88562	-388.6993
0.50611	0.11782	0.34718	-2232.34113	-365.59681
0.50625	0.11792	0.35004	-2222.94848	-345.92814
0.50635	0.11799	0.3529	-2214.07583	-329.68319
0.50643	0.11804	0.35577	-2206.0302	-316.65772
0.50649	0.11808	0.35864	-2199.03337	-306.53909
0.50654	0.11811	0.36151	-2193.24853	-298.94756
0.50658	0.11814	0.36438	-2188.76709	-293.47249
0.50662	0.11816	0.36725	-2185.64634	-289.69256
0.50664	0.11821	0.37012	-2183.91907	-287.21164
0.50666	0.11823	0.37299	-2183.62602	-285.64502
0.50669	0.11825	0.37586	-2184.76122	-284.69195
0.50671	0.11825	0.37873	-2187.31559	-284.12353
0.50673	0.11826	0.3816	-2191.2465	-283.7855
0.50674	0.11816	0.38446	-2196.51475	-283.49701
0.50676	0.11826	0.38733	-2203.05277	-283.59026
0.50677	0.11827	0.3902	-2210.75183	-283.86378
0.50676	0.11818	0.39307	-2219.49747	-284.51485
0.50679	0.11826	0.39594	-2229.14578	-286.06139
0.50679	0.11823	0.39881	-2239.49777	-288.57216
0.5068	0.11822	0.40168	-2250.2039	-292.54677
0.50681	0.11822	0.40455	-2260.66155	-298.3876
0.50681	0.11822	0.40742	-2270.03644	-306.52145
0.50682	0.11822	0.41029	-2277.53152	-317.35498
0.50683	0.11821	0.41316	-2282.71491	-331.2561
0.50684	0.11821	0.41603	-2285.59267	-348.52181
0.50686	0.1182	0.4189	-2286.88304	-369.34558
0.50689	0.11818	0.42177	-2288.38316	-393.79486
0.50699	0.11812	0.42463	-2290.49754	-421.76332
0.50723	0.11796	0.42747	-2293.19701	-452.83591
0.50766	0.11767	0.43024	-2296.45269	-486.12121
0.50832	0.11723	0.43288	-2300.23691	-520.50792
0.50914	0.11665	0.43537	-2304.52728	-555.35733
0.51008	0.11599	0.43773	-2309.30498	-590.7241
