dimensions, bond type, name,H2,CH4,a,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,#VALUE!,score,rmps,mps,PH2,PCH4,aIM, void fraction [widom], supercell volume [A^3], density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v],dimensions, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,,
3, CC, linker110_C_linker110_C_umq_relaxed,0.300107,2.46426,82.11271313,0.0334215,3.48313,3.93E-08,1.28E-07,25.30828832,104.2182427,0.009595249,32.12152218,0.031131775,10341069718,13115827207,252.1004659,-5.43E+11,13124984829,12720570.08,408604074.1,1.04E+02,0.370212,56352.99567,997.2657672,795.958,27.52740742,3,2560,0,3072,0,0,0,0,1,4,17,6.83415,5.02303,6.83415,14,0.001404213,1
3, amide, linker111_CO_linker51_NH_qzd_relaxed,0.637437,0.385319,6.044816978,0.0392879,0.247631,4.10E-09,1.25E-09,19.9006637,6.30298387,0.158655015,20.75059721,0.048191384,60323394.48,58958239.77,137.0105146,-4042439993,62899734.4,146078.9406,3031225.258,6.30E+00,0.666486,33075.78597,523.5343786,4150.97,152.270916,3,624,0,480,96,48,0,12,1,2,4,9.61668,7.26848,9.49618,15,0.001504514,1
3, CC, linker110_C_linker92_C_ins_relaxed,0.429576,3.51552,81.83697413,0.0547933,6.05307,2.81E-08,1.17E-07,19.67744715,110.4709882,0.00905215,26.56240722,0.03764719,9994131038,13483128134,133.9387834,-6.77E+11,13490986734,19120923.07,507897745.2,1.10E+02,0.494685,36149.34013,914.1108159,1245.24,60.31631085,3,1536,0,1440,0,0,0,0,2,3,7,5.17042,4.81288,5.17033,16,0.001604814,1
3, CC, linker92_C_linker92_C_clh_relaxed,0.761759,4.41717,57.98644978,0.0946398,5.89634,2.92E-08,8.84E-08,19.15673341,62.30296345,0.016050601,20.58276142,0.048584346,9842111985,10568520350,124.9321672,-6.86E+11,10574759200,24961070.49,513767758.7,6.23E+01,0.809902,23171.45477,688.7733418,3841.07,58.65125938,3,768,0,384,0,0,0,0,2,3,5,5.36881,4.23586,5.36875,17,0.001705115,1
3, CC, linker110_C_linker92_C_hof_relaxed,0.485583,2.91742,60.08076889,0.0671913,6.21627,6.77E-08,2.14E-07,19.00030718,92.51599537,0.010808942,29.25782016,0.034178896,23878408968,36760098864,122.4448586,-1.68E+12,36769415812,42953919.37,1256738048,9.25E+01,0.56748,25459.83088,902.7846502,1337.85,41.35773088,3,1088,0,768,0,0,0,0,2,2,4,6.79042,6.0573,6.7904,18,0.001805416,1
3, CC, linker91_C_linker91_C_nof_relaxed_interp_2,0.434826,2.90798,66.87686569,0.0552634,4.05138,2.31E-08,8.84E-08,17.49054777,73.31036455,0.013640636,19.17312392,0.052156342,4887833739,5352505097,98.18679532,-3.73E+11,5358039279,14575388.34,279455726.8,7.33E+01,0.390138,29389.06739,1128.98538,719.726,25.33815703,3,768,0,0,768,0,0,0,2,3,5,5.6453,4.60801,5.63887,19,0.001905717,1
3, CC, linker110_C_linker91_C_ins_relaxed,0.414246,2.50216,60.40275585,0.0464942,4.10449,5.92E-08,2.11E-07,16.92710395,88.27961337,0.011327644,24.73923864,0.040421616,12278302393,17937330056,90.09770738,-9.70E+11,17944939313,29320362.41,725363442.7,8.83E+01,0.452619,34335.81251,976.1536242,1102.38,50.64755694,3,1248,0,1152,288,0,0,0,2,3,7,5.20781,4.80646,5.20779,20,0.002006018,1
3, CC, linker110_C_linker87_C_mdf_relaxed,0.2793,1.88074,67.33762979,0.0344407,2.25367,3.31E-08,1.40E-07,15.85181325,65.43624259,0.015282051,15.40421159,0.064917311,3527018065,3422984333,75.19604193,-2.98E+11,3427426989,14444059.27,222499345.1,6.54E+01,0.248978,46980.33392,964.9945873,588.795,18.17331868,3,2112,0,1920,0,0,0,0,1,2,5,6.03963,5.3104,6.03963,21,0.002106319,1
3, CC, linker91_C_linker92_C_clh_relaxed,0.833354,3.97966,47.75473568,0.0933392,4.8483,2.77E-08,8.76E-08,15.10676817,51.94280645,0.019251944,16.43162556,0.060858251,6056010290,6582149658,65.92926376,-5.37E+11,6587119914,24396892.36,400880600.1,5.19E+01,0.842404,44012.94574,739.5504549,3749.34,69.24723185,3,576,0,192,192,0,0,0,2,3,5,5.97651,4.30373,5.82727,22,0.00220662,1
3, CC, linker92_C_linker91_C_clh_relaxed,0.833354,3.97966,47.75473568,0.0933392,4.8483,2.77E-08,8.76E-08,15.10676817,51.94280645,0.019251944,16.43162556,0.060858251,6056010290,6582149658,65.92926376,-5.37E+11,6587119914,24396892.36,400880600.1,5.19E+01,0.84216,44012.94574,739.5504549,3749.34,71.29875781,3,576,0,192,192,0,0,0,2,3,5,5.97651,4.30373,5.82727,23,0.002306921,1
3, CC, linker110_C_linker76_C_mdf_relaxed,0.307625,1.76271,57.30060951,0.0336277,1.699,1.90E-08,7.54E-08,14.41648339,50.52382411,0.019792643,12.71148557,0.078669011,1386372179,1218953019,57.5953038,-1.29E+11,1222409756,7565265.779,96165766.77,5.05E+01,0.254806,45914.49458,1001.117441,625.222,25.06796062,3,1728,0,1536,384,0,0,0,1,2,5,6.00546,5.69378,6.00523,24,0.002407222,1
3, CC, linker92_C_linker92_C_bpi_relaxed,0.74789,3.38124,45.2103919,0.0805504,4.24779,7.45E-08,2.48E-07,13.5703296,52.73456122,0.018962896,15.82878066,0.06317606,12827215454,14956799427,48.86054643,-1.27E+12,14961993254,59716525.68,945239786.7,5.27E+01,0.74435,67907.90533,705.0672639,3012.7,64.35170089,3,1152,0,576,0,0,0,0,2,4,9,5.5177,4.02628,5.51032,25,0.002507523,1
3, CC, linker110_C_linker2_C_mdf_relaxed,0.265003,1.31802,49.73604072,0.0264222,1.29151,2.40E-08,9.54E-08,12.51083841,48.87972992,0.020458378,12.29543795,0.081330979,1157463197,1134193073,38.23410446,-1.24E+11,1137535028,7524484.881,92516836.94,4.89E+01,0.0898613,47322.06027,1065.819014,145.668,5.505775173,3,2112,0,1920,0,192,0,0,1,2,5,4.81125,3.91361,4.81124,26,0.002607823,1
3, CC, linker91_C_linker91_C_etc_relaxed_interp_2,0.636988,2.28048,35.8009884,0.0536174,2.15333,6.65E-08,1.99E-07,11.98108822,40.16102981,0.02489976,13.44021109,0.074403593,5124087800,5743962622,33.89380375,-5.74E+11,5748127415,31821028.1,427681334.6,4.02E+01,0.619272,31718.99711,1046.055375,1414.67,69.92429967,3,768,0,0,768,0,0,0,2,2,5,6.17262,5.41302,6.14897,27,0.002708124,1
3, CC, linker108_C_linker62_C_mdf_relaxed,0.6035,1.90424,31.55327258,0.05537,2.13963,6.80E-08,1.95E-07,10.99350881,38.64240563,0.025878306,13.4634411,0.074275216,4777525522,5846723754,26.20851539,-5.83E+11,5850901160,32278296.93,434576949.4,3.86E+01,0.580604,26169.7135,821.0918637,1553.51,66.94163618,3,832,0,256,192,0,0,0,1,2,5,7.56572,7.19891,7.56572,28,0.002808425,1
3, CC, linker110_C_linker100_C_pth_relaxed,0.485872,2.90374,59.7634768,0.0567022,4.23039,3.51E-08,1.92E-07,10.93394966,74.6071581,0.01340354,13.64965619,0.073261919,4852941435,6054046878,25.78594636,-5.96E+11,6058284897,32516685.27,443841574.5,7.46E+01,0.495123,30708.46865,917.9849045,1266.91,47.57339646,3,1188,0,972,0,108,0,0,2,1,7,4.91874,4.36151,4.90598,29,0.002908726,1
3, CC, linker92_C_linker92_C_bpc_relaxed,0.721014,2.72776,37.8322751,0.0703735,3.11172,4.45E-08,1.66E-07,10.1474323,44.21721245,0.022615627,11.86001024,0.084316959,4193005787,4896952091,20.54410331,-5.55E+11,4900657631,34840488.47,413208549.9,4.42E+01,0.714112,45617.45426,699.7269178,2619.55,56.36155341,3,1536,0,768,0,0,0,0,2,4,5,6.49305,5.13082,6.47853,30,0.003009027,1
3, CC, linker101_C_linker47_C_gme_relaxed,0.722472,0.418731,5.795809388,0.0452434,0.325324,3.55E-09,2.14E-09,9.610455089,7.190529447,0.139071818,11.92314234,0.083870508,33126402.43,38688288.27,16.5687498,-4632270322,41098034.15,289094.3415,3446912.984,7.19E+00,0.822532,58991.9018,362.498099,4699.32,149.6435983,3,864,0,480,144,0,0,0,1,4,25,23.21536,22.50038,23.21536,31,0.003109328,1
3, CC, linker91_C_linker91_C_clh_relaxed,0.90233,2.99625,33.2057008,0.0885941,3.26375,8.36E-08,2.98E-07,9.314372275,36.83936063,0.027144879,10.33363281,0.096771389,7582065716,8408284845,15.93253846,-1.09E+12,8411762033,78773642.36,814017895.4,3.68E+01,0.837129,40940.77094,810.4348464,3496.37,84.15295605,3,384,0,0,384,0,0,0,2,3,5,5.99296,4.10173,5.9928,32,0.003209629,1
3, CC, linker108_C_linker70_C_qtz_relaxed,0.481392,1.61103,33.46607339,0.0479674,3.93304,5.24E-08,1.93E-07,9.096685144,81.99402094,0.012196011,22.2874606,0.044868279,5593271215,13697055033,14.78521059,-8.27E+11,13703872330,27588121.31,614869166.8,8.20E+01,0.580097,50307.75985,751.7288284,2027.14,95.29951185,3,1344,0,864,192,192,0,0,1,1,4,10.70271,10.51238,10.70265,33,0.00330993,1
3, CC, linker92_C_linker92_C_bpe_relaxed,0.577382,2.44548,42.35462831,0.0602563,3.70077,2.83E-08,1.32E-07,9.085347506,61.41714642,0.016282098,13.17438354,0.07590488,2837167250,4110114570,14.6118559,-4.20E+11,4114089141,23703533.53,312279442,6.14E+01,0.597823,45267.40312,793.2801151,1382.62,47.13444767,3,1728,0,864,0,0,0,0,2,5,9,5.45407,4.82989,5.44282,34,0.003410231,1
