 name,H2,CH4,aIM,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),k(H2/CH4),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,score2,Sh2/ch4,score,rmps,PH2,PCH4,score1,Kh_H2,Kh_CH4, void fraction [widom], supercell volume [A^3],dimensions, density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v], num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,0,TOP
 linker111_C_linker102_C_bba_relaxed,0.666205,0.991768,16.82418425,0.0511308,0.860234,9.77E-09,1.30E-109,1.2617E+102,7.93E-103,16.82418425,0.059438246,1.2617E+102,7.9259E-103,3.1642E+109,65.42029775,1.004042768,9.5512E+203,3.1642E+109,1.98774E-95,25079202.12,9.5512E+203,0.0511308,0.860234,0.629107,85571.64036,3,626.7602087,3409.93,116.5278084,2448,0,1536,0,0,0,48,2,3,13,8.90339,5.50068,8.25034,12,0.001379628,1
 linker100_C_linker59_C_umd_relaxed_interp_2,0.721196,0.499855,7.17565153,0.045892,0.329305,1.66E-10,2.35E-111,5.0587E+101,1.98E-102,7.17565153,0.139360168,5.0587E+101,1.9768E-102,8.247E+106,64.30732728,1.004042768,1.5354E+203,8.247E+106,3.22269E-97,163026.618,1.5354E+203,0.045892,0.329305,0.767579,43427.52121,3,448.2872745,5206.13,162.4904933,704,0,448,128,64,0,0,1,4,17,12.33495,9.76,12.28773,13,0.001494596,1
 linker105_CH_linker82_N_tcb_relaxed,0.771089,0.490701,6.998024924,0.0498715,0.349002,8.38E-09,2.97E-99,1.97267E+91,5.07E-92,6.998024924,0.142897462,1.97267E+91,5.06928E-92,1.7215E+98,58.75337325,1.004042768,2.3348E+182,1.7215E+98,4.42384E-85,8726751.602,2.3348E+182,0.0498715,0.349002,0.804309,45037.90348,3,419.8499098,6539.56,179.5495697,624,0,432,192,48,0,0,1,2,5,9.3299,8.01161,9.11284,14,0.001609565,1
 linker102_CH_linker80_N_qtz_relaxed,0.655912,0.397291,6.916988741,0.0405704,0.280625,1.58E-08,1.39E-91,7.86064E+83,1.27E-84,6.916988741,0.144571581,7.86064E+83,1.27216E-84,1.03826E+91,54.38561455,1.004042768,3.7074E+167,1.03826E+91,1.68032E-77,13208390.49,3.7074E+167,0.0405704,0.280625,0.738212,26589.06425,3,420.9171094,3334.91,136.4364366,423,0,360,72,18,0,0,1,1,4,22.74626,22.57298,22.74626,15,0.001724534,1
 linker110_C_linker57_C_rho_relaxed,0.705902,0.44733,6.581973037,0.0454619,0.299229,6.12E-08,6.06E-90,6.6486E+82,1.50E-83,6.581973037,0.151930127,6.6486E+82,1.50408E-83,3.6336E+90,53.9886809,1.004042768,2.6522E+165,3.6336E+90,8.2201E-76,54652137.33,2.6522E+165,0.0454619,0.299229,0.798323,78827.22031,3,425.1492381,3579.15,147.2384824,1248,0,960,192,96,0,0,1,2,25,28.14445,13.4148,28.14445,16,0.001839503,1
 linker110_C_linker46_C_uni_relaxed,0.640097,0.578075,10.03876593,0.0466131,0.467938,2.94E-09,8.65E-88,3.40799E+79,2.93E-80,10.03876593,0.099613838,3.40799E+79,2.93428E-80,1.39718E+86,51.56460106,1.004042768,6.9686E+158,1.39718E+86,1.20298E-73,4099737.517,6.9686E+158,0.0466131,0.467938,0.620743,52636.42871,3,630.7198807,2211.85,132.7273197,1344,0,1152,192,0,0,0,1,2,7,11.55793,11.37967,11.55793,17,0.001954472,1
 linker102_C_linker5_C_sra_relaxed,0.669471,0.393586,6.413321382,0.0422809,0.271161,9.56E-09,8.14E-86,7.52834E+77,1.33E-78,6.413321382,0.155925447,7.52834E+77,1.32831E-78,5.82286E+84,50.68139452,1.004042768,3.4006E+155,5.82286E+84,1.0274E-71,7734590.968,3.4006E+155,0.0422809,0.271161,0.735469,70984.17702,3,410.7557189,5414.91,164.8580331,1376,0,1024,0,0,0,0,1,3,5,10.62848,8.48654,10.62848,18,0.002069441,1
 linker103_CO_linker8_NH_qtz_relaxed_interp_2,0.710499,0.392366,5.411481664,0.0448489,0.242699,1.18E-08,2.49E-84,2.57528E+76,3.88E-77,5.411481664,0.184792274,2.57528E+76,3.88308E-77,2.20846E+83,49.81980028,1.004042768,3.9792E+152,2.20846E+83,3.32997E-70,8575606.158,3.9792E+152,0.0448489,0.242699,0.815941,83126.50802,3,391.5195345,4786.28,148.6047885,984,0,480,192,288,0,0,1,1,4,16.98199,16.10206,16.9076,19,0.00218441,1
 linker110_C_linker15_C_sra_relaxed_interp_2,0.710002,0.360099,5.540784834,0.0436449,0.241827,1.41E-08,1.12E-83,6.97188E+75,1.43E-76,5.540784834,0.180479847,6.97188E+75,1.43433E-76,7.10632E+82,49.50932782,1.004042768,2.9164E+151,7.10632E+82,1.46199E-69,10192827.58,2.9164E+151,0.0436449,0.241827,0.793983,67597.12752,3,366.8004109,5476.34,168.0948853,1088,0,960,64,0,0,0,1,3,5,15.28127,12.27614,15.28123,20,0.002299379,1
 linker103_CH_linker76_N_qtz_relaxed_interp_3,0.715187,0.670062,11.08112728,0.0479703,0.531565,6.15E-09,1.67E-83,4.08074E+75,2.45E-76,11.08112728,0.090243526,4.08074E+75,2.45053E-76,3.98175E+82,49.36217751,1.004042768,9.9915E+150,3.98175E+82,2.39109E-69,9757417.718,9.9915E+150,0.0479703,0.531565,0.785306,82967.11583,3,415.457311,4704.47,142.0161492,1332,0,720,288,0,0,0,1,1,4,18.35421,16.06516,18.35419,21,0.002414348,1
